id,name,default_code,categ_id:id,description,type,lst_price,cost_method,valuation,taxes_id:id,supplier_taxes_id:id,uom_id,uom_po_id,sale_ok,purchase_ok,active
sparepart_061B1GN8001,061B1GN8001,GASKET KIT B,wtc_product.categ_sparepart_gst,GASKET KIT B,product,27800,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_061B1KEV001,061B1KEV001,GASKET KIT B,wtc_product.categ_sparepart_gst,GASKET KIT B,product,24500,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_073030030001,073030030001,THICK-TAPE 0.03MM,wtc_product.categ_sparepart_tl,07303-0030001,product,242000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_073030050001,073030050001,"THICK-TAPE,0.05MM",wtc_product.categ_sparepart_tl,07303-0050001,product,196000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_073030060001,073030060001,"THICK-TAPE,0.06MM",wtc_product.categ_sparepart_tl,07303-0060001,product,240000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_073030100001,073030100001,"THICK-TAPE,0.1MM",wtc_product.categ_sparepart_tl,07303-0100001,product,240000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_073030150001,073030150001,"THICKNESS TAPE 0,15",wtc_product.categ_sparepart_tl,07303-0150001,product,200000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_073030250001,073030250001,"THICKNESS TAPE 0,25",wtc_product.categ_sparepart_tl,07303-0250001,product,200000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_073400010000,073400010000,VERNIER CALIPER,wtc_product.categ_sparepart_tl,07340-0010000,product,385000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_076060010101,076060010101,"T BOX,WRENCH 8MM",wtc_product.categ_sparepart_tl,07606-0010101,product,52000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_076060010301,076060010301,"T BOX,WRENCH 10MM",wtc_product.categ_sparepart_tl,07606-0010301,product,63000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
sparepart_076310010000,076310010000,UNIVERSAL BEARING PULLER,wtc_product.categ_sparepart_tl,07631-0010000,product,1420000,average,real_time,l10n_id_honda.tax_output_vat,l10n_id_honda.tax_input_vat,Unit(s),Unit(s),TRUE,TRUE,TRUE
